date,GDP
12/31/2001,485441.01
12/31/2002,514937.95
12/31/2003,607699.29
12/31/2004,709148.51
12/31/2005,820381.6
12/31/2006,940259.89
12/31/2007,1216735.44
12/31/2008,1198895.58
12/31/2009,1341886.6
12/31/2010,1675615.34
12/31/2011,1823049.93
12/31/2012,1827637.86
12/31/2013,1856722.12
12/31/2014,2039127.45
12/31/2015,2103587.81
12/31/2016,2294797.98
12/31/2017,2651472.95
